hour,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,,pv1,pv2,pv3,pv4,pv5,pv6,,wind1,wind2,wind3,wind4,wind5,wind6
1,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0.5,0,0,0,0,0,,0,0,0,0,0,0,,0.124827586,0.209606061,0.2784375,0.174392857,0.27305,0.274642857
2,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,,0,0,0,0,0,0,,0.145448276,0.209757576,0.2614375,0.17575,0.25295,0.283285714
3,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,,0,0,0,0,0,0,,0.153758621,0.199939394,0.2465,0.1715,0.262,0.273428571
4,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,,0,0,0,0,0,0,,0.151310345,0.190333333,0.2458125,0.174785714,0.25975,0.268571429
5,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,,0,0,0,0,0,0,,0.147689655,0.184242424,0.2500625,0.184178571,0.24895,0.257857143
6,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,,0,0,0,0,0,0,,0.143,0.187,0.2663125,0.202714286,0.24245,0.259714286
7,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,,0,0,0,0,0,0,,0.135862069,0.185666667,0.291375,0.20825,0.2455,0.256928571
8,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,0,0,,0.02262069,0.000393939,0.0000625,0.004285714,0,0.000214286,,0.125862069,0.181333333,0.3028125,0.207428571,0.25135,0.247
9,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,,0.129758621,0.019636364,0.084,0.052892857,0.0342,0.022,,0.10237931,0.173484848,0.2995625,0.195571429,0.25435,0.234857143
10,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,,0.228655172,0.054787879,0.1956875,0.109,0.1519,0.064928571,,0.07,0.152575758,0.273,0.1645,0.23125,0.197071429
11,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,,0.30437931,0.100121212,0.2775625,0.16175,0.3014,0.101428571,,0.050448276,0.139181818,0.278375,0.153035714,0.20445,0.1745
12,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,,0.337827586,0.130757576,0.3334375,0.199892857,0.3838,0.119142857,,0.041068966,0.139393939,0.34575,0.153535714,0.2192,0.157
13,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,,0.312103448,0.136727273,0.306625,0.176,0.37605,0.125,,0.035793103,0.134151515,0.3513125,0.133035714,0.21775,0.136928571
14,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,0,,0.224482759,0.097333333,0.1966875,0.111,0.26215,0.095714286,,0.038724138,0.138636364,0.3534375,0.127321429,0.2248,0.141357143
15,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,,0.090275862,0.038727273,0.069125,0.029571429,0.0804,0.022785714,,0.070172414,0.179575758,0.3924375,0.174964286,0.2922,0.192357143
16,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,,0.00162069,0.000272727,0.0000625,0,0,0,,0.130827586,0.244363636,0.4484375,0.228892857,0.37225,0.259214286
17,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,,0,0,0,0,0,0,,0.184689655,0.286939394,0.4653125,0.254821429,0.38155,0.288357143
18,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,,0,0,0,0,0,0,,0.205448276,0.295666667,0.4829375,0.255428571,0.3766,0.29
19,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0.5,0,0,0,0,,0,0,0,0,0,0,,0.203724138,0.287575758,0.49225,0.244428571,0.37125,0.265285714
20,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,,0,0,0,0,0,0,,0.19662069,0.275242424,0.5085,0.23775,0.3748,0.248642857
21,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,,0,0,0,0,0,0,,0.186241379,0.280272727,0.5371875,0.243535714,0.39375,0.248357143
22,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,,0,0,0,0,0,0,,0.177103448,0.288151515,0.552625,0.252,0.41845,0.268357143
23,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,,0,0,0,0,0,0,,0.171103448,0.288363636,0.5674375,0.25175,0.43425,0.282857143
24,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,,0,0,0,0,0,0,,0.167793103,0.299787879,0.5760625,0.25675,0.43055,0.314928571
25,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.164413793,0.316545455,0.58525,0.25,0.44885,0.346071429
26,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.167,0.323121212,0.5869375,0.239714286,0.466,0.356214286
27,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.169724138,0.332757576,0.578125,0.242428571,0.4763,0.382285714
28,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.165206897,0.33930303,0.6,0.253928571,0.47915,0.398357143
29,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.167517241,0.361333333,0.601,0.270178571,0.47445,0.4095
30,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.174724138,0.379848485,0.5738125,0.292678571,0.4706,0.417071429
31,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,31.03,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0.182724138,0.384939394,0.5275,0.309571429,0.48305,0.418857143
