"","lon","lat"
"1",8.125,47.875
"2",8.75,47.875
"3",9.375,47.875
"4",10,47.875
"5",10.625,47.875
"6",11.25,47.875
"7",11.875,47.875
"8",12.5,47.875
"9",8.125,48.375
"10",8.75,48.375
"11",9.375,48.375
"12",10,48.375
"13",10.625,48.375
"14",11.25,48.375
"15",11.875,48.375
"16",12.5,48.375
"17",13.125,48.375
"18",8.75,48.875
"19",9.375,48.875
"20",10,48.875
"21",10.625,48.875
"22",11.25,48.875
"23",11.875,48.875
"24",12.5,48.875
"25",13.125,48.875
"26",6.875,49.375
"27",7.5,49.375
"28",8.125,49.375
"29",8.75,49.375
"30",9.375,49.375
"31",10,49.375
"32",10.625,49.375
"33",11.25,49.375
"34",11.875,49.375
"35",12.5,49.375
"36",6.875,49.875
"37",7.5,49.875
"38",8.125,49.875
"39",8.75,49.875
"40",9.375,49.875
"41",10,49.875
"42",10.625,49.875
"43",11.25,49.875
"44",11.875,49.875
"45",12.5,49.875
"46",6.875,50.375
"47",7.5,50.375
"48",8.125,50.375
"49",8.75,50.375
"50",9.375,50.375
"51",10,50.375
"52",10.625,50.375
"53",11.25,50.375
"54",11.875,50.375
"55",6.25,50.875
"56",6.875,50.875
"57",7.5,50.875
"58",8.125,50.875
"59",8.75,50.875
"60",9.375,50.875
"61",10,50.875
"62",10.625,50.875
"63",11.25,50.875
"64",11.875,50.875
"65",12.5,50.875
"66",13.125,50.875
"67",13.75,50.875
"68",6.25,51.375
"69",6.875,51.375
"70",7.5,51.375
"71",8.125,51.375
"72",8.75,51.375
"73",9.375,51.375
"74",10,51.375
"75",10.625,51.375
"76",11.25,51.375
"77",11.875,51.375
"78",12.5,51.375
"79",13.125,51.375
"80",13.75,51.375
"81",14.375,51.375
"82",6.875,51.875
"83",7.5,51.875
"84",8.125,51.875
"85",8.75,51.875
"86",9.375,51.875
"87",10,51.875
"88",10.625,51.875
"89",11.25,51.875
"90",11.875,51.875
"91",12.5,51.875
"92",13.125,51.875
"93",13.75,51.875
"94",14.375,51.875
"95",7.5,52.375
"96",8.125,52.375
"97",8.75,52.375
"98",9.375,52.375
"99",10,52.375
"100",10.625,52.375
"101",11.25,52.375
"102",11.875,52.375
"103",12.5,52.375
"104",13.125,52.375
"105",13.75,52.375
"106",14.375,52.375
"107",7.5,52.875
"108",8.125,52.875
"109",8.75,52.875
"110",9.375,52.875
"111",10,52.875
"112",10.625,52.875
"113",11.25,52.875
"114",11.875,52.875
"115",12.5,52.875
"116",13.125,52.875
"117",13.75,52.875
"118",7.5,53.375
"119",8.125,53.375
"120",8.75,53.375
"121",9.375,53.375
"122",10,53.375
"123",10.625,53.375
"124",11.25,53.375
"125",11.875,53.375
"126",12.5,53.375
"127",13.125,53.375
"128",13.75,53.375
"129",14.375,53.375
"130",9.375,53.875
"131",10,53.875
"132",10.625,53.875
"133",11.25,53.875
"134",11.875,53.875
"135",12.5,53.875
"136",13.125,53.875
"137",13.75,53.875
"138",8.75,54.375
"139",9.375,54.375
"140",10,54.375
"141",8.75,54.875
