"","lon","lat"
"1",25,35
"2",23.75,35.5
"3",-5.625,36.5
"4",-5,36.5
"5",23.125,36.5
"6",-6.25,37
"7",-5.625,37
"8",-5,37
"9",-4.375,37
"10",-3.75,37
"11",-3.125,37
"12",-2.5,37
"13",14.375,37
"14",15,37
"15",21.875,37
"16",22.5,37
"17",-8.75,37.5
"18",-8.125,37.5
"19",-7.5,37.5
"20",-6.875,37.5
"21",-6.25,37.5
"22",-5.625,37.5
"23",-5,37.5
"24",-4.375,37.5
"25",-3.75,37.5
"26",-3.125,37.5
"27",-2.5,37.5
"28",-1.875,37.5
"29",13.125,37.5
"30",13.75,37.5
"31",14.375,37.5
"32",15,37.5
"33",21.875,37.5
"34",22.5,37.5
"35",23.125,37.5
"36",-8.75,38
"37",-8.125,38
"38",-7.5,38
"39",-6.875,38
"40",-6.25,38
"41",-5.625,38
"42",-5,38
"43",-4.375,38
"44",-3.75,38
"45",-3.125,38
"46",-2.5,38
"47",-1.875,38
"48",-1.25,38
"49",13.125,38
"50",14.375,38
"51",15,38
"52",21.875,38
"53",22.5,38
"54",23.125,38
"55",23.75,38
"56",-8.75,38.5
"57",-8.125,38.5
"58",-7.5,38.5
"59",-6.875,38.5
"60",-6.25,38.5
"61",-5.625,38.5
"62",-5,38.5
"63",-4.375,38.5
"64",-3.75,38.5
"65",-3.125,38.5
"66",-2.5,38.5
"67",-1.875,38.5
"68",-1.25,38.5
"69",-0.625,38.5
"70",16.25,38.5
"71",21.25,38.5
"72",21.875,38.5
"73",22.5,38.5
"74",23.125,38.5
"75",23.75,38.5
"76",-9.375,39
"77",-8.75,39
"78",-8.125,39
"79",-7.5,39
"80",-6.875,39
"81",-6.25,39
"82",-5.625,39
"83",-5,39
"84",-4.375,39
"85",-3.75,39
"86",-3.125,39
"87",-2.5,39
"88",-1.875,39
"89",-1.25,39
"90",-0.625,39
"91",8.75,39
"92",16.25,39
"93",16.875,39
"94",21.25,39
"95",21.875,39
"96",22.5,39
"97",23.125,39
"98",26.25,39
"99",-8.75,39.5
"100",-8.125,39.5
"101",-7.5,39.5
"102",-6.875,39.5
"103",-6.25,39.5
"104",-5.625,39.5
"105",-5,39.5
"106",-4.375,39.5
"107",-3.75,39.5
"108",-3.125,39.5
"109",-2.5,39.5
"110",-1.875,39.5
"111",-1.25,39.5
"112",-0.625,39.5
"113",3.125,39.5
"114",8.75,39.5
"115",9.375,39.5
"116",16.25,39.5
"117",16.875,39.5
"118",20.625,39.5
"119",21.25,39.5
"120",21.875,39.5
"121",22.5,39.5
"122",-8.75,40
"123",-8.125,40
"124",-7.5,40
"125",-6.875,40
"126",-6.25,40
"127",-5.625,40
"128",-5,40
"129",-4.375,40
"130",-3.75,40
"131",-3.125,40
"132",-2.5,40
"133",-1.875,40
"134",-1.25,40
"135",-0.625,40
"136",0,40
"137",8.75,40
"138",9.375,40
"139",16.25,40
"140",18.125,40
"141",20,40
"142",20.625,40
"143",21.25,40
"144",21.875,40
"145",22.5,40
