left,top,right,bottom,id,X,Y,CTR_N,CTR,CST_N,GRED_CST
6.0948387388,51.7847458940,6.5948387388,52.2847458940,25,6.0948387388,51.7847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
6.0948387388,50.7847458940,6.5948387388,51.2847458940,27,6.0948387388,50.7847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
6.5948387388,51.7847458940,7.0948387388,52.2847458940,42,6.5948387388,51.7847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
6.5948387388,51.2847458940,7.0948387388,51.7847458940,43,6.5948387388,51.2847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
6.5948387388,50.7847458940,7.0948387388,51.2847458940,44,6.5948387388,50.7847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
6.5948387388,50.2847458940,7.0948387388,50.7847458940,45,6.5948387388,50.2847458940,Germany,276.00,Rheinland-Pfalz,27600911.00
6.5948387388,49.7847458940,7.0948387388,50.2847458940,46,6.5948387388,49.7847458940,Germany,276.00,Rheinland-Pfalz,27600911.00
7.0948387388,52.7847458940,7.5948387388,53.2847458940,57,7.0948387388,52.7847458940,Germany,276.00,Niedersachsen,27600909.00
7.0948387388,52.2847458940,7.5948387388,52.7847458940,58,7.0948387388,52.2847458940,Germany,276.00,Niedersachsen,27600909.00
7.0948387388,51.7847458940,7.5948387388,52.2847458940,59,7.0948387388,51.7847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
7.0948387388,51.2847458940,7.5948387388,51.7847458940,60,7.0948387388,51.2847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
7.0948387388,50.7847458940,7.5948387388,51.2847458940,61,7.0948387388,50.7847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
7.0948387388,50.2847458940,7.5948387388,50.7847458940,62,7.0948387388,50.2847458940,Germany,276.00,Rheinland-Pfalz,27600911.00
7.0948387388,49.7847458940,7.5948387388,50.2847458940,63,7.0948387388,49.7847458940,Germany,276.00,Rheinland-Pfalz,27600911.00
7.0948387388,49.2847458940,7.5948387388,49.7847458940,64,7.0948387388,49.2847458940,Germany,276.00,Saarland,27600912.00
7.5948387388,53.2847458940,8.0948387388,53.7847458940,73,7.5948387388,53.2847458940,Germany,276.00,Niedersachsen,27600909.00
7.5948387388,52.7847458940,8.0948387388,53.2847458940,74,7.5948387388,52.7847458940,Germany,276.00,Niedersachsen,27600909.00
7.5948387388,52.2847458940,8.0948387388,52.7847458940,75,7.5948387388,52.2847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
7.5948387388,51.7847458940,8.0948387388,52.2847458940,76,7.5948387388,51.7847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
7.5948387388,51.2847458940,8.0948387388,51.7847458940,77,7.5948387388,51.2847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
7.5948387388,50.7847458940,8.0948387388,51.2847458940,78,7.5948387388,50.7847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
7.5948387388,50.2847458940,8.0948387388,50.7847458940,79,7.5948387388,50.2847458940,Germany,276.00,Rheinland-Pfalz,27600911.00
7.5948387388,49.7847458940,8.0948387388,50.2847458940,80,7.5948387388,49.7847458940,Germany,276.00,Rheinland-Pfalz,27600911.00
7.5948387388,49.2847458940,8.0948387388,49.7847458940,81,7.5948387388,49.2847458940,Germany,276.00,Rheinland-Pfalz,27600911.00
7.5948387388,47.7847458940,8.0948387388,48.2847458940,84,7.5948387388,47.7847458940,Germany,276.00,Baden-Württemberg,27600901.00
8.0948387388,53.2847458940,8.5948387388,53.7847458940,90,8.0948387388,53.2847458940,Germany,276.00,Niedersachsen,27600909.00
8.0948387388,52.7847458940,8.5948387388,53.2847458940,91,8.0948387388,52.7847458940,Germany,276.00,Niedersachsen,27600909.00
8.0948387388,52.2847458940,8.5948387388,52.7847458940,92,8.0948387388,52.2847458940,Germany,276.00,Niedersachsen,27600909.00
8.0948387388,51.7847458940,8.5948387388,52.2847458940,93,8.0948387388,51.7847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
8.0948387388,51.2847458940,8.5948387388,51.7847458940,94,8.0948387388,51.2847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
8.0948387388,50.7847458940,8.5948387388,51.2847458940,95,8.0948387388,50.7847458940,Germany,276.00,Nordrhein-Westfalen,27600910.00
8.0948387388,50.2847458940,8.5948387388,50.7847458940,96,8.0948387388,50.2847458940,Germany,276.00,Rheinland-Pfalz,27600911.00
8.0948387388,49.7847458940,8.5948387388,50.2847458940,97,8.0948387388,49.7847458940,Germany,276.00,Rheinland-Pfalz,27600911.00
8.0948387388,49.2847458940,8.5948387388,49.7847458940,98,8.0948387388,49.2847458940,Germany,276.00,Rheinland-Pfalz,27600911.00
8.0948387388,48.7847458940,8.5948387388,49.2847458940,99,8.0948387388,48.7847458940,Germany,276.00,Baden-Württemberg,27600901.00
