;d;d;d;d;d;;;renewable;renewable;renewable;renewable;renewable;;;
;2012;2013;2014;2015;2016;;;2012;2013;2014;2015;2016;;;
h1;40318;36504;45486;42097;40952;;h1;0,087537064;0,299104021;0,125375951;0,116242231;0,106451335;;;Source:
h2;38406;35142;43588;40665;39396;;h2;0,093180297;0,29516887;0,119213304;0,118524385;0,105601989;;;Own aggregation based on
h3;36501;33723;41811;39510;37718;;h3;0,103472023;0,280550271;0,12978416;0,121934193;0,105146543;;;"Open Power System Data. 2017. Data Package Time series. Version 2017-07-09. https://data.open-power-system-data.org/time_series/2017-07-09/. (Primary data from various sources, for a complete list see URL)."" "
h4;35305;32375;40757;38537;36692;;h4;0,116575801;0,260565556;0,13224627;0,122055013;0,103927916;;;
h5;34568;31876;39988;38153;36556;;h5;0,128818747;0,246499829;0,12546441;0,123088695;0,102106131;;;
h6;33501;31325;39052;37927;35890;;h6;0,140985175;0,231247053;0,123252934;0,124041831;0,090092197;;;
h7;31650;29721;37302;37921;34718;;h7;0,15468197;0,22287266;0,11863832;0,130203649;0,080921725;;;
h8;32109;29644;37586;39143;34753;;h8;0,166331899;0,208026408;0,121380551;0,13870132;0,069227834;;;
h9;32981;30414;38240;39891;35143;;h9;0,186437111;0,198643836;0,12606888;0,137815307;0,058851044;;;
h10;35063;32596;40649;41618;37429;;h10;0,210310856;0,206205181;0,138821726;0,145077929;0,057817058;;;
h11;37709;35215;42894;43858;40167;;h11;0,222859876;0,214319398;0,153432211;0,170074237;0,065214983;;;
h12;40771;38327;45335;46208;42909;;h12;0,22263032;0,2181082;0,17511942;0,198144742;0,068907791;;;
h13;41374;39713;46286;47556;43678;;h13;0,205050215;0,20466039;0,184142242;0,218898927;0,066569012;;;
h14;40913;39760;45686;46674;42989;;h14;0,192864658;0,190090574;0,178230229;0,214925293;0,05547828;;;
h15;40577;39716;45312;45923;42525;;h15;0,172759445;0,16688619;0,150159226;0,190707602;0,036164896;;;
h16;40865;40308;45866;46347;42890;;h16;0,154739359;0,135648893;0,117812703;0,169241922;0,015337461;;;
h17;43536;42418;48899;48230;45335;;h17;0,139837398;0,123436916;0,121660671;0,183163067;0,008813501;;;
h18;47675;45587;53773;51634;48354;;h18;0,148330942;0,11909524;0,144822197;0,207353909;0,015977548;;;
h19;48918;46921;54668;51307;48900;;h19;0,164208513;0,123258045;0,162705667;0,22652401;0,026415884;;;
h20;47909;45938;53750;50138;47737;;h20;0,187412721;0,128461551;0,1821814;0,241988965;0,041494849;;;
h21;45597;44006;51276;47092;45666;;h21;0,215035868;0,141405272;0,189420298;0,257883503;0,05395192;;;
h22;44366;42979;49765;45182;44417;;h22;0,250750837;0,144494853;0,191366397;0,27365722;0,066581322;;;
h23;43556;42902;49157;49365;44017;;h23;0,294060258;0,146413646;0,199003361;0,285497577;0,076071837;;;
h24;39163;39648;45914;46468;41144;;h24;0,30408417;0,145275379;0,206271746;0,296760682;0,085648519;;;
h25;35115;36656;42526;43254;38484;;h25;0,301862974;0,147344802;0,203098741;0,30219323;0,091852435;;;
h26;32570;34795;40282;41608;36559;;h26;0,301595195;0,15144223;0,203821093;0,315293549;0,107866911;;;
h27;31784;34127;39623;40839;36115;;h27;0,289965954;0,153913694;0,207830881;0,326447612;0,131907089;;;
h28;32147;34263;39811;40577;36377;;h28;0,278241077;0,158905401;0,217973288;0,337494295;0,147084528;;;
h29;33971;35179;41111;41364;37101;;h29;0,251635362;0,153377126;0,221098564;0,34642023;0,165573185;;;
h30;38118;37158;43647;43445;37656;;h30;0,218316055;0,154791714;0,223000265;0,352124775;0,180209013;;;
h31;44584;41837;48770;46679;38545;;h31;0,1814965;0,167734383;0,231521066;0,354621352;0,190548874;;;
h32;51823;47067;54751;51275;40719;;h32;0,145135993;0,166905141;0,233865023;0,352728786;0,197712921;;;
h33;56247;50505;58714;55305;44031;;h33;0,109999617;0,164937726;0,226936345;0,359480282;0,205492436;;;
h34;58559;51904;61170;57513;47830;;h34;0,096993229;0,176238171;0,225123095;0,353292529;0,220546782;;;
h35;61059;53418;62828;59351;50282;;h35;0,104930951;0,210838672;0,23265619;0,354245524;0,236684351;;;
h36;62753;54761;64359;60451;52270;;h36;0,111854941;0,240268609;0,227142731;0,364057341;0,247799702;;;
h37;63183;55381;64611;60104;52703;;h37;0,123618071;0,246561087;0,225152578;0,368983383;0,250766258;;;
h38;62463;54842;63856;59568;51991;;h38;0,131594048;0,229520991;0,224960934;0,372835629;0,249424537;;;
