;d;renewable
;2014;2014
h1;45486;0.125375951
h2;43588;0.119213304
h3;41811;0.12978416
h4;40757;0.13224627
h5;39988;0.12546441
h6;39052;0.123252934
h7;37302;0.11863832
h8;37586;0.121380551
h9;38240;0.12606888
h10;40649;0.138821726
h11;42894;0.153432211
h12;45335;0.17511942
h13;46286;0.184142242
h14;45686;0.178230229
h15;45312;0.150159226
h16;45866;0.117812703
h17;48899;0.121660671
h18;53773;0.144822197
h19;54668;0.162705667
h20;53750;0.1821814
h21;51276;0.189420298
h22;49765;0.191366397
h23;49157;0.199003361
h24;45914;0.206271746
h25;42526;0.203098741
h26;40282;0.203821093
h27;39623;0.207830881
h28;39811;0.217973288
h29;41111;0.221098564
h30;43647;0.223000265
h31;48770;0.231521066
h32;54751;0.233865023
h33;58714;0.226936345
h34;61170;0.225123095
h35;62828;0.23265619
h36;64359;0.227142731
h37;64611;0.225152578
h38;63856;0.224960934
h39;62748;0.207712946
h40;61949;0.190258572
h41;63371;0.176548633
h42;66788;0.183256184
h43;66641;0.176548633
h44;64675;0.171860719
h45;60728;0.158357166
h46;57857;0.144234455
h47;55726;0.129566294
h48;51517;0.129522069
h49;47568;0.116693201
h50;45160;0.116250958
h51;44392;0.120290111
h52;44790;0.135193702
h53;45856;0.148534701
h54;48075;0.162981308
h55;52214;0.179344301
h56;57632;0.192095642
h57;60834;0.21230615
h58;62500;0.244619376
h59;63736;0.281812017
h60;65227;0.294607583
h61;65331;0.282549089
h62;63621;0.27772864
h63;62233;0.264490831
h64;61768;0.243587476
h65;63372;0.226531635
h66;66851;0.217008668
h67;66745;0.235273306
h68;64400;0.233784421
h69;60535;0.237307624
h70;57791;0.250501209
h71;56150;0.263429447
h72;52401;0.274470782
h73;48162;0.273379916
h74;45860;0.262692376
h75;44570;0.25308096
h76;44450;0.245724984
h77;44816;0.237602453
h78;44810;0.219632643
h79;45266;0.210876231
h80;48147;0.18960434
h81;51522;0.176720325
h82;55130;0.183398196
h83;57453;0.190709948
h84;59022;0.180169821
h85;58857;0.158986379
h86;57597;0.142932956
h87;56415;0.128560057
h88;56430;0.129798337
h89;58724;0.136564656
h90;62204;0.152234802
h91;62410;0.153723687
h92;60109;0.148431511
h93;56121;0.13650569
h94;53635;0.12561177
h95;52600;0.112388702
h96;49266;0.103750221
h97;45615;0.089745858
h98;42883;0.080709358
h99;41518;0.077864261
h100;41197;0.079485819
h101;41429;0.084350492
h102;41145;0.088596026
h103;40357;0.097352438
h104;42035;0.096585884
h105;44757;0.108172652
h106;48287;0.119376142
h107;51415;0.131744207
h108;54277;0.143950115
h109;54325;0.162745445
h110;52666;0.167904947
h111;51048;0.148343063
h112;50721;0.115720267
h113;52782;0.095745622
h114;57484;0.101406333
h115;58970;0.114172416
h116;57640;0.122722448
h117;54888;0.127380742
h118;53247;0.13968984
h119;53082;0.141930538
h120;49625;0.150775399
h121;46638;0.161296979
h122;44887;0.173736183
h123;44168;0.185939573
h124;44440;0.203006632
h125;45634;0.216271186
h126;48087;0.231864407
h127;53115;0.254988946
h128;58809;0.2633014
h129;61610;0.281724392
h130;62994;0.307590273
h131;64752;0.337052321
h132;66065;0.333809875
h133;66158;0.318290346
h134;65108;0.289152542
h135;64078;0.257671334
h136;63531;0.214782609
h137;65057;0.199248342
h138;68861;0.211304348
h139;68984;0.226352248
h140;67189;0.225055269
h141;63404;0.226308032
h142;60439;0.228194547
h143;57997;0.226440678
h144;53333;0.221709654
h145;49502;0.220155633
